model,params,precision,recall,accuracy,f1-score
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 50}",0.7317552303310088,0.41128408965441093,0.8713305924844387,0.5265948047358191
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 100}",0.7362823061630218,0.408910235177211,0.8716667947437178,0.5258039327039113
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 500}",0.7373817819810852,0.408910235177211,0.8718108814262661,0.5260840228701303
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.7256279472620537,0.41625262228110854,0.8710424191193422,0.5290299947377654
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7315031152647975,0.41481726841117367,0.8716860063013909,0.5294159092510392
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.7353834100479875,0.41454123882080157,0.8721759010220549,0.5302030008826125
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.7264526142205839,0.41343712045931325,0.8708503035426113,0.5269675966646731
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7308478535968072,0.4144860329027272,0.8715611311765158,0.5289745305949907
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 500}",0.7359803921568627,0.4144308269846528,0.8722431414739107,0.530267712085894
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 50}",0.7352356333267052,0.408247764160318,0.8714554676093138,0.5249893511287804
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 100}",0.7347427203829278,0.4067572043723087,0.8712249289172366,0.5236301613247104
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 40, 'n_estimators': 500}",0.7387812468627648,0.40626035110963893,0.8716956120802275,0.5242386464826357
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7172921128596703,0.4252511869272386,0.8708310919849381,0.5339479430215229
